Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Iraq,IRQ,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Iraq,IRQ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Iraq,IRQ,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Iraq,IRQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5695.67914250609
Israel,ISR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Israel,ISR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Israel,ISR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Israel,ISR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Israel,ISR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Israel,ISR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Israel,ISR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Israel,ISR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Israel,ISR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,33673.1277021872
Jordan,JOR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Jordan,JOR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Jordan,JOR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,0
Jordan,JOR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Jordan,JOR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Jordan,JOR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Jordan,JOR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Jordan,JOR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Jordan,JOR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3258.49324014107
Kenya,KEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Kenya,KEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Kenya,KEN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,7
Kenya,KEN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Kenya,KEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Kenya,KEN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Kenya,KEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Kenya,KEN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Kenya,KEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1143.06537340126
Kuwait,KWT,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Kuwait,KWT,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Kuwait,KWT,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Kuwait,KWT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Kuwait,KWT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Kuwait,KWT,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Kuwait,KWT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Kuwait,KWT,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Kuwait,KWT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,35250.9145753869
Lebanon,LBN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Lebanon,LBN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Lebanon,LBN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Lebanon,LBN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Lebanon,LBN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Lebanon,LBN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Lebanon,LBN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Lebanon,LBN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Lebanon,LBN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7143.95909540687
Lesotho,LSO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Lesotho,LSO,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5
Lesotho,LSO,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,5
Lesotho,LSO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Lesotho,LSO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Lesotho,LSO,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Lesotho,LSO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Lesotho,LSO,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Lesotho,LSO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1352.47670903277
Liberia,LBR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Liberia,LBR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Liberia,LBR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,9
Liberia,LBR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Liberia,LBR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Liberia,LBR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Liberia,LBR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Liberia,LBR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Liberia,LBR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,352.646078449267
Libya,LBY,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Libya,LBY,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Libya,LBY,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,0
Libya,LBY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Libya,LBY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Libya,LBY,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Libya,LBY,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Libya,LBY,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Libya,LBY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Madagascar,MDG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Madagascar,MDG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Madagascar,MDG,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Madagascar,MDG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Madagascar,MDG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Madagascar,MDG,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Madagascar,MDG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Madagascar,MDG,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Madagascar,MDG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,416.002717237602
Malawi,MWI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Malawi,MWI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5
Malawi,MWI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,9
Malawi,MWI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Malawi,MWI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Malawi,MWI,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Malawi,MWI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Malawi,MWI,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Malawi,MWI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,481.451936704379
Mali,MLI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Mali,MLI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Mali,MLI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Mali,MLI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Mali,MLI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Mali,MLI,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Mali,MLI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Mali,MLI,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mali,MLI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,745.870724513615
Malta,MLT,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Malta,MLT,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Malta,MLT,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Malta,MLT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Malta,MLT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Malta,MLT,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Malta,MLT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Malta,MLT,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Malta,MLT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,26606.3053425535
Mauritania,MRT,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Mauritania,MRT,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Mauritania,MRT,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Mauritania,MRT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Mauritania,MRT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Mauritania,MRT,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Mauritania,MRT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Mauritania,MRT,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mauritania,MRT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1296.00745761869
Mauritius,MUS,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Mauritius,MUS,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Mauritius,MUS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Mauritius,MUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Mauritius,MUS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Mauritius,MUS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Mauritius,MUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Mauritius,MUS,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mauritius,MUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9822.00813402346
Morocco,MAR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Morocco,MAR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Morocco,MAR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Morocco,MAR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Morocco,MAR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Morocco,MAR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Morocco,MAR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Morocco,MAR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Morocco,MAR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3196.04028048802
Mozambique,MOZ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Mozambique,MOZ,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Mozambique,MOZ,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Mozambique,MOZ,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Mozambique,MOZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Mozambique,MOZ,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Mozambique,MOZ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Mozambique,MOZ,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mozambique,MOZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,515.387281654551
Namibia,NAM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Namibia,NAM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Namibia,NAM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,5
Namibia,NAM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Namibia,NAM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Namibia,NAM,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Namibia,NAM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Namibia,NAM,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Namibia,NAM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6045.21705360856
Niger,NER,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Niger,NER,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Niger,NER,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Niger,NER,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Niger,NER,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Niger,NER,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Niger,NER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Niger,NER,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Niger,NER,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,391.132585407736
Nigeria,NGA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Nigeria,NGA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Nigeria,NGA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,7
Nigeria,NGA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Nigeria,NGA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Nigeria,NGA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Nigeria,NGA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Nigeria,NGA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Nigeria,NGA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2455.91855879433
Oman,OMN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Oman,OMN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Oman,OMN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Oman,OMN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Oman,OMN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Oman,OMN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Oman,OMN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Oman,OMN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Oman,OMN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Qatar,QAT,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Qatar,QAT,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Qatar,QAT,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Qatar,QAT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Qatar,QAT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Qatar,QAT,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Qatar,QAT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Qatar,QAT,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Qatar,QAT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,66410.7564675877
Rwanda,RWA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5
Rwanda,RWA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5
Rwanda,RWA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,10
Rwanda,RWA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Rwanda,RWA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Rwanda,RWA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Rwanda,RWA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Rwanda,RWA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Rwanda,RWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,738.63911062682
Sao Tome and Principe,STP,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5
Sao Tome and Principe,STP,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Sao Tome and Principe,STP,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,0
Sao Tome and Principe,STP,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Sao Tome and Principe,STP,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Sao Tome and Principe,STP,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Sao Tome and Principe,STP,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Sao Tome and Principe,STP,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Sao Tome and Principe,STP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1283.88670745623
Saudi Arabia,SAU,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Saudi Arabia,SAU,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Saudi Arabia,SAU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Saudi Arabia,SAU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Saudi Arabia,SAU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Saudi Arabia,SAU,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Saudi Arabia,SAU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Saudi Arabia,SAU,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Saudi Arabia,SAU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,21395.3597802581
Senegal,SEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5
Senegal,SEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,4
Senegal,SEN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Senegal,SEN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Senegal,SEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Senegal,SEN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Senegal,SEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Senegal,SEN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Senegal,SEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1092.25116227774
Seychelles,SYC,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Seychelles,SYC,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Seychelles,SYC,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Seychelles,SYC,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Seychelles,SYC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Seychelles,SYC,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Seychelles,SYC,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Seychelles,SYC,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Seychelles,SYC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Seychelles,SYC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13963.5916450155
Sierra Leone,SLE,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Sierra Leone,SLE,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Sierra Leone,SLE,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,5
Sierra Leone,SLE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Sierra Leone,SLE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Sierra Leone,SLE,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Sierra Leone,SLE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Sierra Leone,SLE,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Sierra Leone,SLE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,455.588877378324
